exercise,difficulty_level,target_muscle_group,primary_equipment,posture,single_or_double_arm,continuous_or_alternating_arms,grip,continuous_or_alternating_legs,foot_elevation,combination_exercises,movement_pattern,body_region,force_type,mechanics,laterality,primary_exercise_classification
Stability Ball Dead Bug,Beginner,Abdominals,Stability Ball,Supine,Single Arm,Alternating,Neutral,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Contralateral,Postural
Bodyweight Glute Bridge,Beginner,Glutes,Bodyweight,Bridge,No Arms,Continuous,No Grip,Continuous,No Elevation,Single Exercise,Hip Extension,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Bird Dog,Beginner,Abdominals,Bodyweight,Quadruped,Single Arm,Alternating,Flat Palm,Alternating,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Contralateral,Postural
Stability Ball Russian Twist ,Beginner,Abdominals,Stability Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Feet Elevated Crunch ,Beginner,Abdominals,Stability Ball,Supine,No Arms,Continuous,Head Supported,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Midsection,Other,Isolation,Bilateral,Unsorted*
Ring Hanging Knee Raise ,Intermediate,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette Mountain Climber,Novice,Abdominals,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Unilateral,Calisthenics
Parallette Push Up,Novice,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Push,Upper Body,Push,Compound,Bilateral,Calisthenics
Bodyweight Knee Hover Bird Dog,Intermediate,Abdominals,Bodyweight,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,Alternating,No Elevation,Single Exercise,Anti-Rotational,Midsection,Other,Compound,Contralateral,Postural
Stability Ball V Up Pass,Novice,Abdominals,Stability Ball,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Hip Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Dead Bug,Beginner,Abdominals,Bodyweight,Supine,Single Arm,Alternating,No Grip,Alternating,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Contralateral,Postural
Bodyweight Alternating Heel Taps,Beginner,Abdominals,Bodyweight,Supine,Double Arm,Alternating,No Grip,Continuous,No Elevation,Single Exercise,Lateral Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Flutter Kicks,Beginner,Abdominals,Bodyweight,Supine,No Arms,Continuous,No Grip,Alternating,No Elevation,Single Exercise,Hip Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Kneeling Forearm Plank,Beginner,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Forearm,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Seated Ab Circles,Novice,Abdominals,Bodyweight,Seated Floor,No Arms,Continuous,Flat Palm,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Ring Hanging Oblique Knee Raise,Intermediate,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Calisthenics
Stability Ball Stir the Pot,Novice,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Forearm,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Alternating Lateral Kick Through,Intermediate,Abdominals,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,Alternating,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Unilateral,Animal Flow
Ring L Sit Hang Flutter Kicks ,Intermediate,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Alternating,No Elevation,Single Exercise,Hip Flexion,Midsection,Other,Compound,Unilateral,Calisthenics
Slam Ball Russian Twist,Intermediate,Abdominals,Slam Ball,Seated Floor,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Dumbbell Otis Up,Novice,Abdominals,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Side Plank Reach Through ,Advanced,Abdominals,Dumbbell,Side Plank,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Anti-Lateral Flexion,Midsection,Other,Compound,Unilateral,Unsorted*
Ab Wheel Kneeling Rollout,Novice,Abdominals,Ab Wheel,Prone,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Seated Crunch,Novice,Abdominals,Cable,Seated,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Isolation,Bilateral,Unsorted*
Cable Kneeling Crunch,Novice,Abdominals,Cable,Kneeling,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Isolation,Bilateral,Unsorted*
Medicine Ball V Up,Novice,Abdominals,Medicine Ball,Supine,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Suspension Knee Tuck,Novice,Abdominals,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Suspension Lateral Knee Tuck,Intermediate,Abdominals,Suspension Trainer,Prone,Double Arm,Continuous,Flat Palm,Continuous,Feet Elevated,Single Exercise,Rotational,Midsection,Other,Compound,Bilateral,Unsorted*
Suspension Archer Row ,Novice,Shoulders,Suspension Trainer,Standing,Double Arm,Alternating,Neutral,Continuous,No Elevation,Single Exercise,Horizontal Pull,Upper Body,Pull,Compound,Unilateral,Unsorted*
Single Arm Dumbbell Turkish Get Up,Intermediate,Abdominals,Dumbbell,Supine,Single Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Rotational,Full Body,Other,Compound,Unilateral,Grinds
Bodyweight Bear Crawl,Novice,Abdominals,Bodyweight,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,Alternating,No Elevation,Single Exercise,Unsorted*,Midsection,Other,Compound,Contralateral,Animal Flow
Stability Ball Knee Tuck,Novice,Abdominals,Stability Ball,Prone,Double Arm,Continuous,Flat Palm,Continuous,Feet Elevated,Single Exercise,Spinal Flexion,Midsection,Other,Compound,Bilateral,Unsorted*
Ring Hanging Leg Raise ,Advanced,Abdominals,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Continuous,No Elevation,Single Exercise,Hip Flexion,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette L Sit,Advanced,Abdominals,Parallette Bars,L Sit,Double Arm,Continuous,Neutral,Continuous,No Elevation,Single Exercise,Isometric Hold,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Bodyweight,Standing,Double Arm,Alternating,Flat Palm,Continuous,No Elevation,Single Exercise,Anti-Extension,Midsection,Other,Compound,Bilateral,Calisthenics
